1.3778,  1.3933, 1.4091, 1.4253,   1.4419,  
1.4588,  1.4762,  1.4940,  1.5122,  1.5309, 
1.5500,  1.5696,  1.5897,  1.6104,  1.6316, 
1.6533,  1.6757,  1.6986,  1.7222,  1.7465,
1.7714,  1.7971,  1.8235,  1.8507,  1.8788, 
1.9077,  1.9375,  1.9683,  2.0000,  2.0328, 
2.0667,  2.1017,  2.1379,  2.1754,  2.2143, 
2.2545,  2.2963,  2.3396,  2.3846,  2.4314, 
2.4800,  2.5306,  2.5833,  2.6383,  2.6957,
2.7556,  2.8182,  2.8837,  2.9524,  3.0244,  
3.1000,  3.1795,  3.2632,  3.3514, 3.4444,   
3.5429,  3.6471,  3.7576,  3.8750, 4.0000,  
4.1333,  4.2759,  4.4286,  4.5926,  4.7692,  
4.9600,  5.1667,  5.3913,  5.6364,  5.9048, 
6.2000
